Name,Link,Price_AMD,Price_USD,State,City,Address,Category,Review_Count,Average_Score,Free_WiFi,Breakfast_Included,Free_Parking,Swimming_Pool
"""G"" Hotel",https://www.tripadvisor.com//Hotel_Review-g293932-d8785941-Reviews-G_Hotel-Yerevan.html,9977.0,21.0,Yerevan,Yerevan,Erebuni.Ulitsa Ai_vazovskogo,Other,0,0.0,0,0,0,0
14th Floor Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d2038096-Reviews-14th_Floor_Hotel-Yerevan.html,33589.0,69.0,Yerevan,Yerevan,Amiryan str. 4/6,Hotel,90,4.36666666666667,1,0,1,0
17 Nalbandyan Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d9608160-Reviews-17_Nalbandyan_Hostel-Yerevan.html,14550.0,30.0,Yerevan,Yerevan,Nalbandyan str. 17/7,Specialty Lodging,2,1.0,0,1,0,0
2x2 Cinema-Bar Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d7318900-Reviews-2x2_Cinema_Bar_Hotel-Yerevan.html,266667.0,549.0,Yerevan,Yerevan,Khangyan Street 31,Specialty Lodging,11,4.72727272727273,1,0,1,0
3/3 Appart Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d15639048-Reviews-3_3_Appart_Hotel-Yerevan.html,19990.0,41.0,Yerevan,Yerevan,Bagramyan Marshal ave 3/3,Other,0,0.0,1,0,1,0
3D Guest House,https://www.tripadvisor.com//Hotel_Review-g1160895-d12436502-Reviews-3D_Guest_House-Dilijan_Tavush_Province.html,18000.0,37.0,Tavush Province,Dilijan,Moldovakan 7/2,Other,0,0.0,1,0,1,0
4Guest Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d13485222-Reviews-4Guest_Hotel-Yerevan.html,17000.0,35.0,Yerevan,Yerevan,H. Hovsepian 31,Specialty Lodging,3,5.0,1,0,1,0
5. Element Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d12455033-Reviews-5_Element_Hostel-Yerevan.html,14990.0,31.0,Yerevan,Yerevan,Gai Avenue 57/1,Other,0,0.0,1,0,1,0
Adams Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d12456038-Reviews-Adams_Hotel-Yerevan.html,22500.0,46.0,Yerevan,Yerevan,Charyentsa str. 90/7,Specialty Lodging,11,4.81818181818182,1,0,1,0
Adamyan 11 Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d15232919-Reviews-Adamyan_11_Hostel-Yerevan.html,9990.0,21.0,Yerevan,Yerevan,Petros Adamyan Street 11,Other,0,0.0,0,0,0,0
Afina Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d10682113-Reviews-Afina_Hotel-Yerevan.html,8333.0,17.0,Yerevan,Yerevan,"Tbilisyan St., 1",Other,0,0.0,1,0,1,0
Agasu Tun,https://www.tripadvisor.com//Hotel_Review-g2426280-d8618166-Reviews-Agasu_Tun-Odzun_Alaverdi_Lori_Province.html,29167.0,60.0,Lori Province,Alaverdi,,Specialty Lodging,3,5.0,1,0,1,0
Aghababyan's Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d15855853-Reviews-Aghababyan_s_Hotel-Yerevan.html,44523.0,92.0,Yerevan,Yerevan,Nazarbyekyan Tovmas str. 25/5,Hotel,7,5.0,0,0,0,0
Aghveran Ararat Resort Hotel,https://www.tripadvisor.com//Hotel_Review-g5921305-d10508752-Reviews-Aghveran_Ararat_Resort_Hotel-Arzakan_Kotayk_Province.html,10190.0,21.0,Kotayk Province,Arzakan,Antarain Street 11,Hotel,14,4.125,0,0,0,0
Aghveran Hotel,https://www.tripadvisor.com//Hotel_Review-g5921305-d3217206-Reviews-Aghveran_Hotel-Arzakan_Kotayk_Province.html,12492.0,26.0,Kotayk Province,Arzakan,Antarayin Street 1,Hotel,62,3.88709677419355,1,0,1,0
Akhtamar Hotel,https://www.tripadvisor.com//Hotel_Review-g666442-d2307118-Reviews-Akhtamar_Hotel-Sevan_Lake_Sevan_Gegharkunik_Province.html,25250.0,52.0,Gegharkunik Province,Lake Sevan,"Mashtotsner 3, Tsovagyugh village",Hotel,11,3.27272727272727,1,0,1,0
Alba Hotel Yerevan,https://www.tripadvisor.com//Hotel_Review-g293932-d15109993-Reviews-Alba_Hotel_Yerevan-Yerevan.html,18325.0,38.0,Yerevan,Yerevan,"Proshyan 1st Lane, 32",Hotel,7,4.14285714285714,1,1,1,0
Albert House,https://www.tripadvisor.com//Hotel_Review-g293932-d8787032-Reviews-Albert_House-Yerevan.html,10000.0,21.0,Yerevan,Yerevan,Zavaryan str. 12/1,B&Bs,22,4.54545454545455,1,0,1,0
Aleppo Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d7891055-Reviews-Aleppo_Hotel-Yerevan.html,8000.0,16.0,Yerevan,Yerevan,Sebastia Street 10/3,B&Bs,3,3.5,1,0,1,0
Alex Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d14803097-Reviews-Alex_Hotel-Yerevan.html,11242.0,23.0,Yerevan,Yerevan,"Admiral Isakov Avenue, 3/13",Other,0,0.0,1,0,1,0
